execno,acc,loss,exec_time
0.0,0.3571000099182129,3.663109686279297,771.7229473590851
0.0,0.3684000074863434,1.8805764572143555,786.853743314743
0.0,0.4043000042438507,2.426783596038818,778.7627644538879
0.0,0.5819000005722046,1.2090798601150512,786.6949746608734
0.0,0.3483000099658966,15.725814613342285,784.283718585968
0.0,0.4447000026702881,1.5950140102386474,795.0010826587677
0.0,0.5116000175476074,1.7674554424285889,793.0680906772614
0.0,0.5209000110626221,1.363023258972168,785.3437769412994
0.0,0.4645000100135803,7.520247657775879,786.2525639533998
0.0,0.10000000149011612,6304.76700703125,785.2308204174042
0.0,0.3978999853134155,1.8169192276000976,786.0064589977264
